Tanggal,Produk,Jumlah,Harga
"2026-01-01",Laptop,4,7000000
"2026-01-02",Printer,1,2200000
"2026-01-03",Headset,8,450000
"2026-01-04",Monitor,5,2500000
"2026-01-05",Keyboard,2,300000
"2026-01-06",Mouse,9,150000
"2026-01-07",Laptop,6,7000000
"2026-01-08",Laptop,3,7000000
"2026-01-09",Printer,10,2200000
"2026-01-10",Headset,7,450000
"2026-01-11",Monitor,4,2500000
"2026-01-12",Keyboard,1,300000
"2026-01-13",Mouse,8,150000
"2026-01-14",Laptop,5,7000000
"2026-01-15",Laptop,2,7000000
"2026-01-16",Printer,9,2200000
"2026-01-17",Headset,6,450000
"2026-01-18",Monitor,3,2500000
"2026-01-19",Keyboard,10,300000
"2026-01-20",Mouse,7,150000
"2026-01-21",Laptop,4,7000000
"2026-01-22",Laptop,1,7000000
"2026-01-23",Printer,8,2200000
"2026-01-24",Headset,5,450000
"2026-01-25",Monitor,2,2500000
"2026-01-26",Keyboard,9,300000
"2026-01-27",Mouse,6,150000
"2026-01-28",Laptop,3,7000000
"2026-01-29",Laptop,10,7000000
"2026-01-30",Printer,7,2200000
"2026-01-31",Headset,4,450000
"2026-02-01",Monitor,1,2500000
"2026-02-02",Keyboard,8,300000
"2026-02-03",Mouse,5,150000
"2026-02-04",Laptop,2,7000000
"2026-02-05",Laptop,9,7000000
"2026-02-06",Printer,6,2200000
"2026-02-07",Headset,3,450000
"2026-02-08",Monitor,10,2500000
"2026-02-09",Keyboard,7,300000
"2026-02-10",Mouse,4,150000
"2026-02-11",Laptop,1,7000000
"2026-02-12",Laptop,8,7000000
"2026-02-13",Printer,5,2200000
"2026-02-14",Headset,2,450000
"2026-02-15",Monitor,9,2500000
"2026-02-16",Keyboard,6,300000
"2026-02-17",Mouse,3,150000
"2026-02-18",Laptop,10,7000000
"2026-02-19",Laptop,7,7000000
"2026-02-20",Printer,4,2200000
"2026-02-21",Headset,1,450000
"2026-02-22",Monitor,8,2500000
"2026-02-23",Keyboard,5,300000
"2026-02-24",Mouse,2,150000
"2026-02-25",Laptop,9,7000000
"2026-02-26",Laptop,6,7000000
"2026-02-27",Printer,3,2200000
"2026-02-28",Headset,10,450000
"2026-03-01",Monitor,7,2500000
"2026-03-02",Keyboard,4,300000
"2026-03-03",Mouse,1,150000
"2026-03-04",Laptop,8,7000000
"2026-03-05",Laptop,5,7000000
"2026-03-06",Printer,2,2200000
"2026-03-07",Headset,9,450000
"2026-03-08",Monitor,6,2500000
"2026-03-09",Keyboard,3,300000
"2026-03-10",Mouse,10,150000
"2026-03-11",Laptop,7,7000000
"2026-03-12",Laptop,4,7000000
"2026-03-13",Printer,1,2200000
"2026-03-14",Headset,8,450000
"2026-03-15",Monitor,5,2500000
"2026-03-16",Keyboard,2,300000
"2026-03-17",Mouse,9,150000
"2026-03-18",Laptop,6,7000000
"2026-03-19",Laptop,3,7000000
"2026-03-20",Printer,10,2200000
"2026-03-21",Headset,7,450000
"2026-03-22",Monitor,4,2500000
"2026-03-23",Keyboard,1,300000
"2026-03-24",Mouse,8,150000
"2026-03-25",Laptop,5,7000000
"2026-03-26",Laptop,2,7000000
"2026-03-27",Printer,9,2200000
"2026-03-28",Headset,6,450000
"2026-03-29",Monitor,3,2500000
"2026-03-30",Keyboard,10,300000
"2026-03-31",Mouse,7,150000
"2026-04-01",Laptop,4,7000000
"2026-04-02",Laptop,1,7000000
"2026-04-03",Printer,8,2200000
"2026-04-04",Headset,5,450000
"2026-04-05",Monitor,2,2500000
"2026-04-06",Keyboard,9,300000
"2026-04-07",Mouse,6,150000
"2026-04-08",Laptop,3,7000000
"2026-04-09",Laptop,10,7000000
"2026-04-10",Printer,7,2200000
"2026-04-11",Headset,4,450000
"2026-04-12",Monitor,1,2500000
"2026-04-13",Keyboard,8,300000
"2026-04-14",Mouse,5,150000
"2026-04-15",Laptop,2,7000000
"2026-04-16",Laptop,9,7000000
"2026-04-17",Printer,6,2200000
"2026-04-18",Headset,3,450000
"2026-04-19",Monitor,10,2500000
"2026-04-20",Keyboard,7,300000
"2026-04-21",Mouse,4,150000
"2026-04-22",Laptop,1,7000000
"2026-04-23",Laptop,8,7000000
"2026-04-24",Printer,5,2200000
"2026-04-25",Headset,2,450000
"2026-04-26",Monitor,9,2500000
"2026-04-27",Keyboard,6,300000
"2026-04-28",Mouse,3,150000
"2026-04-29",Laptop,10,7000000
"2026-04-30",Laptop,7,7000000
